ID,PROVINCE,NAME_EN,WIKIDATA,MS_FB_PARE,MS_FB
NA-20,Khyber Pakhtunkhwa,NA-20 Mardan-I,Q58401759,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:20
NA-129,Punjab,NA-129 Lahore-VII,Q58401322,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:129
NA-46,Federally Administered Tribal Areas,NA 46 Kurram-II,Q58401838,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:46
NA-242,Sindh,NA-242 East Karachi-I,Q58401623,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:242
NA-272,Balochistan,NA-272 (Lasbela-cum-Gwadar),Q55624415,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:272
NA-141,Punjab,NA-141 (Okara-I),Q55624361,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:141
NA-159,Punjab,NA-159 Multan-VI,Q58401375,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:159
NA-117,Punjab,NA-117 Nankana Sahib-I,Q58401286,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:117
NA-177,Punjab,NA-177 (Rahim Yar Khan-III),Q58400830,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:177
NA-16,Khyber Pakhtunkhwa,NA-16 Abbotabad-II,Q58401746,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:16
NA-247,Sindh,NA-247 South Karachi-II,Q58400846,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:247
NA-260,Balochistan,NA-260 Nasirabad-cum-kachi-cum-Jhal Magsi,Q58401669,country:pk/province:ba,country:pk/province:ba/national-assembly-constituency:260
NA-94,Punjab,NA-94 Khushab-II,Q58401213,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:94
NA-91,Punjab,NA-91 Sargodha-IV,Q58401196,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:91
NA-173,Punjab,NA-173 Bahawalpur-IV,Q58401411,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:173
NA-139,Punjab,NA-139 (Kasur-III),Q55641181,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:139
NA-200,Sindh,NA-200 (Larkana-I),Q55624388,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:200
NA-220,Sindh,NA-220 Umarkot,Q58401538,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:220
NA-132,Punjab,NA-132 (Lahore-X),Q55624347,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:132
NA-145,Punjab,NA-145 Pakpattan-I,Q58401341,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:145
NA-230,Sindh,NA-230 Badin-II,Q58401587,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:230
NA-197,Sindh,NA-197 Kashmor,Q58401472,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:197
NA-127,Punjab,NA-127 Lahore-V,Q58401319,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:127
NA-61,Punjab,NA-61 Rawalpindi-V,Q58401092,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:61
NA-14,Khyber Pakhtunkhwa,NA-14 Mansehra Tor Ghar,Q58401734,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:14
NA-86,Punjab,NA-86 MBD-II,Q58401187,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:86
NA-25,Khyber Pakhtunkhwa,NA-25 Nowshehra-I,Q58401779,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:25
NA-175,Punjab,NA-175 RYK-I,Q58401424,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:175
NA-32,Khyber Pakhtunkhwa,NA-32 Kohat,Q58401790,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:32
NA-102,Punjab,NA-102 Faisalabad-II,Q58401246,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:102
NA-47,Federally Administered Tribal Areas,NA 47 Orakzai,Q58401841,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:47
NA-217,Sindh,NA-217 Sangarh-III,Q58401529,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:217
NA-62,Punjab,NA-62 Rawalpindi-VI,Q58401094,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:62
NA-82,Punjab,NA-82 Gujranwala-IV,Q58401165,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:82
NA-85,Punjab,NA-85 MBD-I,Q58401184,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:85
NA-59,Punjab,NA-59 Rawalpindi-III,Q58401089,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:59
NA-116,Punjab,NA-116 Jhang-III,Q58401285,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:116
NA-11,Khyber Pakhtunkhwa,NA-11 Kohistan,Q58401729,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:11
NA-170,Punjab,NA-170 Bahawalpur-I,Q58401407,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:170
NA-252,Sindh,NA-252 West Karachi-V,Q58401641,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:252
NA-126,Punjab,NA-126 Lahore-IV,Q58401317,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:126
NA-48,Federally Administered Tribal Areas,NA 48 North Wazirastan,Q58401843,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:48
NA-3,Khyber Pakhtunkhwa,NA-3 Swat-II,Q58401701,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:3
NA-248,Sindh,NA-248 West Karachi-I,Q58401632,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:248
NA-51,Federally Administered Tribal Areas,NA 51 FR Tribal Areas,Q58401852,country:pk/tribal-region:ta,country:pk/tribal-region:ta/national-assembly-constituency:51
NA-250,Sindh,NA-250 West Karachi-III,Q58401638,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:250
NA-194,Punjab,Constituency NA-194,Q12857272,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:194
NA-42,Federally Administered Tribal Areas,NA 42 Mohmand,Q58401819,country:pk/province:kp,country:pk/province:kp/national-assembly-constituency:42
NA-192,Punjab,NA-192 DG Khan-IV,Q58401466,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:192
NA-58,Punjab,NA-58 Rawalpindi-II,Q58401087,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:58
NA-240,Sindh,NA-240 Korangi-II,Q58401609,country:pk/province:sd,country:pk/province:sd/national-assembly-constituency:240
NA-187,Punjab,NA-187 Layyah-I,Q58401446,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:187
NA-156,Punjab,NA-156 Multan-III,Q58400825,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:156
NA-99,Punjab,NA-99 Chiniot-I,Q58401224,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:99
NA-74,Punjab,NA-74 Sialkot-III,Q58401145,country:pk/province:pb,country:pk/province:pb/national-assembly-constituency:74
